gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Lamc2,79.14289785183652,-1.9160916191542687,0.30808738194771235,-6.2193122192828465,4.9933881805781e-10,1.8884297347107224e-07
Dnm1,48.806596247212596,-2.0241501427501003,0.32575252384380937,-6.213766569988671,5.172935807424526e-10,1.9118700477349462e-07
Maff,236.74626104715617,-0.6411972494638479,0.10330701381720195,-6.206715553683735,5.410339524034611e-10,1.9551764742189079e-07
A1cf,2096.5698084291853,0.8548856507943158,0.138162176960058,6.1875519740938865,6.110570323125144e-10,2.1602194477100238e-07
Emp3,270.0149739229996,-0.8380244562039968,0.1361391664997574,-6.155645562921014,7.477228147710164e-10,2.5871209391077163e-07
Timp1,129.27605886758252,-1.1457997769280324,0.1863684701835521,-6.148034459903801,7.844899270376817e-10,2.6577864986430793e-07
Spint1,82.78200999183223,-2.318857370243888,0.3789208267880167,-6.1196355711034816,9.378960590515267e-10,3.0504131424591853e-07
Slc22a28,60.429287757226504,1.6236220972139275,0.2656389691421234,6.112138224513473,9.83049777802849e-10,3.050984379219132e-07
Myorg,944.7756194842383,0.5869067582295873,0.09595936885283322,6.116200692500269,9.583262313597889e-10,3.050984379219132e-07
Htra1,139.31588893498997,-1.557227294690594,0.25485227358569373,-6.1103135270518925,9.943559961789079e-10,3.050984379219132e-07
Igfbp2,15177.41140603745,-0.9596520338411815,0.15721904515417728,-6.103917199726636,1.0349991863427441e-09,3.060210321510128e-07
Fmo3,42.917806057788205,-2.8522940413001416,0.4671378376495824,-6.105893831361514,1.0222694727526608e-09,3.060210321510128e-07
Clcf1,214.79137148678296,-0.9943387967546798,0.16298055668979422,-6.1009657651816385,1.0542948994597386e-09,3.061597081252548e-07
Map3k21,230.02103825282515,-0.9052146096662335,0.14882357451377887,-6.082467865885213,1.1834662121625927e-09,3.376408340734751e-07
Cldn7,54.79963366266512,-2.2531770806577565,0.3707029451445215,-6.078120258201179,1.2159954922227068e-09,3.4093997749182164e-07
Ces1f,2144.1349443787926,1.2942543331796328,0.21381121219143365,6.053257543953475,1.419456527582484e-09,3.9124071273807385e-07
Lat2,187.62769721233673,-1.0098907781272966,0.16707501259045504,-6.044535101145289,1.4984143074206448e-09,4.061202244545755e-07
Syngr1,109.87342693024623,-1.3638899290535638,0.22574548774448236,-6.041715130967883,1.5248451598043636e-09,4.065087211268617e-07
Kif12,67.44663128288661,-2.432753312957327,0.403018624647819,-6.036329747994172,1.576589225917316e-09,4.135240966430225e-07
Tmem45a,85.54841545333474,-2.261388378541805,0.37508189101377154,-6.029052408874562,1.6492380388005055e-09,4.1906107792146595e-07
Lgi2,53.78671331967517,-1.7562513860377542,0.2912386990213181,-6.030281662222368,1.6367416290714667e-09,4.1906107792146595e-07
Mogat1,21.420073601280723,2.7105917253372445,0.45038319339926547,6.018412243314551,1.7613615903438597e-09,4.4066557203341303e-07
Krt19,91.42505290113671,-2.130819820546218,0.35445070904276554,-6.011611110331079,1.8368854602520187e-09,4.4584225902415417e-07
Sfn,62.55526481280033,-1.2482179185821733,0.20758555068847634,-6.013028914788843,1.8208854241269705e-09,4.4584225902415417e-07
Ddr1,411.7159980520096,-1.110987827012573,0.18515977273183049,-6.000157650990598,1.971260457951569e-09,4.7142114069424147e-07
Serpinb6b,257.1264010715775,-0.7946221495696181,0.1342001971656576,-5.921169762431357,3.1965967096316026e-09,7.426150813147017e-07
Itgb4,63.483990137240525,-1.9635371483749982,0.33399353233334356,-5.878967579573613,4.128332104187991e-09,9.455624884268326e-07
Arhgef26,981.387254446744,0.5944735247324071,0.10156079251655518,5.853376189788036,4.816928772049831e-09,1.0879568845982548e-06
Gas6,1889.4230584246193,-0.9349161018383788,0.15995410263402146,-5.8449022966137205,5.068656725517277e-09,1.1138715631129994e-06
Adap2,763.0216983385665,0.6838481275221248,0.1171247694246699,5.838629445174271,5.263198238783427e-09,1.141201730121281e-06
Anxa13,83.34259580650186,-2.1049582116911925,0.3618868166426632,-5.816620321291463,6.004932357351902e-09,1.2682105194189172e-06
Ddit4l,88.86200556388476,-1.4379145282145422,0.24739205110565507,-5.8122907417120055,6.162369138383802e-09,1.2847749606204793e-06
Mgam,2729.1747700056867,0.5859889908396735,0.10222981855783882,5.732075035505781,9.920936271495126e-09,2.016678320588172e-06
Arrdc3,3724.349992083406,0.7783646135808668,0.13673427624890053,5.692534709906915,1.2516714259505211e-08,2.482278137659436e-06
Ankrd13b,176.85727216642795,-0.7565644311239343,0.13335128608800592,-5.673469325407447,1.3993416732955796e-08,2.680710443671731e-06
Slc5a1,105.04829342569701,-1.8795190314192445,0.33129528376681827,-5.67324415261565,1.4011830507446633e-08,2.680710443671731e-06
Prr15l,46.577359274353825,-1.5112856153499918,0.2662167492156185,-5.676899067405963,1.3715834565643229e-08,2.680710443671731e-06
Ckb,500.63472976814927,-0.7233699709521759,0.12792310693345274,-5.654724844421441,1.5609613409506083e-08,2.9177417616711256e-06
Pitpnm3,18.63670591175056,-2.848823966271241,0.504563565145119,-5.646115104351386,1.6411398969683783e-08,2.998676067921322e-06
Trem2,1011.0213965966253,-0.6194425312340973,0.10980838410255414,-5.6411223632575895,1.6894523958767006e-08,3.052652762416323e-06
Isyna1,309.26133578668106,-0.8153883435698266,0.14463243298728412,-5.637659041810591,1.723773797792605e-08,3.080440604363005e-06
Gck,1834.7583270047926,1.102845639094201,0.19609278123355145,5.624101163523628,1.8647635203482462e-08,3.2961722139025197e-06
Slc27a1,534.234861543573,-0.6495835973249616,0.1156879004403279,-5.614965738444,1.9660119646514156e-08,3.4377727493721855e-06
Spp1,6373.0680026151185,-1.6464849949518354,0.2943339421201311,-5.593935184953389,2.219798510742532e-08,3.840251423584581e-06
Hamp,9389.861192357797,0.9823518531929296,0.17582322268031095,5.587156453041942,2.308177661424052e-08,3.95111422421873e-06
Tmsb10,1129.6351797579969,-0.7825615024009649,0.14020855338177524,-5.581410573933535,2.3857571178059104e-08,4.0126375575255154e-06
Ltb,88.05212696843334,-1.5262153415997473,0.2734736663717269,-5.5808493806683215,2.3934684730043967e-08,4.0126375575255154e-06
Cd34,151.42258368712436,-1.2333022391949209,0.22117539687629229,-5.576127619134469,2.4593153720227383e-08,4.080957814268753e-06
Entpd2,261.3162543591768,-0.8739035542952561,0.156895913874457,-5.569957385853434,2.5480164775215852e-08,4.1854387835814165e-06
Igkv1-117,16.879914490050744,-4.00094233901703,0.7186485909553267,-5.567313968706772,2.5869602521397938e-08,4.203969737900144e-06
Fcer1g,623.6181756395999,-0.5523276960753154,0.09923775281146278,-5.5657013629143455,2.6110007596108386e-08,4.203969737900144e-06
Cd52,373.5668777746977,-0.5824549409447893,0.10471922042909838,-5.562063378223376,2.6660342692741987e-08,4.2504950281310804e-06
Adgrg1,125.8423471728184,-1.4360649406804604,0.2593708053597534,-5.536725456392846,3.081790559923673e-08,4.772959817664646e-06
Zyg11a,165.5961694399228,0.6816288549012781,0.12315833591682478,5.534573440173936,3.119866891980897e-08,4.786346735603147e-06
Nrep,707.0106115228248,1.3446444616647506,0.24331727768869593,5.5263007807653945,3.2705324402744895e-08,4.970597994742406e-06
Dpyd,5444.823886987356,0.6365984616178947,0.11550887886698576,5.5112513242464205,3.5629154661138316e-08,5.315608377059003e-06
Irf2bp2,912.7789467885253,-0.7733959329767252,0.14049705178989583,-5.504712896988673,3.69770369078947e-08,5.46655067451076e-06
Dcdc2a,161.7314831944502,-1.7916057144551543,0.3257178667001215,-5.500483386453685,3.7875144097842615e-08,5.54887921909114e-06
Scn7a,42.06273030992508,-2.265500064656619,0.4123824882038871,-5.493686394211111,3.936292323982024e-08,5.715355872553186e-06
Pde6c,65.84782544440036,-1.5625365994427673,0.284587476061408,-5.490531843030243,4.007252330320083e-08,5.766897114660637e-06
Hsd17b6,2473.171479330325,-0.6864057208378266,0.12549236618809528,-5.469701000051284,4.507954247985278e-08,6.430557191292682e-06
Plekhs1,38.793798537865555,-2.294772676975137,0.42070690236525576,-5.454563887765326,4.909318246680076e-08,6.737331974857823e-06
S100a6,119.30029605615061,-1.0528006513228805,0.19303944428140934,-5.453811034537206,4.9301592977990464e-08,6.737331974857823e-06
Epcam,221.9987751759432,-2.405387245945429,0.4410142068745693,-5.454217139606922,4.9189065606927173e-08,6.737331974857823e-06
Robo1,250.11641845404392,0.82729883084091,0.15182682664633526,5.448963461299342,5.0664219462951995e-08,6.865846140887712e-06
Fam180a,136.5551963181847,-1.2891713014965989,0.236728520947095,-5.445779394637065,5.157903099138231e-08,6.932051256048422e-06
Dpy19l3,134.15817800311297,0.8299782659652257,0.15245945694578464,5.443927733917945,5.211837107828712e-08,6.947122544877911e-06
